OP_ID,YEAR,SERIAL,SPECIES,LENGTH
88065,2014,508,217,9
88065,2014,508,217,9
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,9
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,11
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,9
88065,2014,508,217,10
88065,2014,508,217,11
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,9
88065,2014,508,217,10
88065,2014,508,217,9
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,9
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,9
88065,2014,508,217,10
88065,2014,508,217,9
88065,2014,508,217,9
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,9
88065,2014,508,217,10
88065,2014,508,217,9
88065,2014,508,217,8
88065,2014,508,217,9
88065,2014,508,217,9
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,9
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,9
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,10
88065,2014,508,217,10
88066,2014,509,217,9
88066,2014,509,217,9
88066,2014,509,217,9
88066,2014,509,217,9
88066,2014,509,217,10
88066,2014,509,217,9
88066,2014,509,217,9
88066,2014,509,217,10
88066,2014,509,217,9
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,9
88066,2014,509,217,8
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,9
88066,2014,509,217,10
88066,2014,509,217,9
88066,2014,509,217,10
88066,2014,509,217,9
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,9
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,9
88066,2014,509,217,10
88066,2014,509,217,11
88066,2014,509,217,9
88066,2014,509,217,10
88066,2014,509,217,9
88066,2014,509,217,10
88066,2014,509,217,9
88066,2014,509,217,9
88066,2014,509,217,10
88066,2014,509,217,9
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,10
88066,2014,509,217,9
88066,2014,509,217,9
88066,2014,509,217,10
88069,2014,512,217,12
88069,2014,512,217,11
88069,2014,512,217,12
88069,2014,512,217,11
88069,2014,512,217,11
88069,2014,512,217,11
88069,2014,512,217,11
88069,2014,512,217,11
88069,2014,512,217,11
88069,2014,512,217,11
88069,2014,512,217,11
88069,2014,512,217,12
88069,2014,512,217,10
88069,2014,512,310,28
88070,2014,513,217,11
88070,2014,513,217,11
88070,2014,513,217,11
88070,2014,513,217,11
88070,2014,513,217,11
88078,2014,518,217,9
88078,2014,518,217,8
88078,2014,518,217,9
88078,2014,518,217,10
88078,2014,518,217,9
88078,2014,518,217,9
88078,2014,518,217,9
88078,2014,518,217,9
88078,2014,518,217,10
88078,2014,518,217,9
88078,2014,518,217,10
88078,2014,518,217,9
88078,2014,518,217,9
88078,2014,518,217,8
88078,2014,518,217,9
88078,2014,518,217,9
88078,2014,518,217,9
88078,2014,518,217,10
88078,2014,518,217,9
88078,2014,518,217,10
88078,2014,518,217,8
88078,2014,518,217,8
88078,2014,518,217,9
88078,2014,518,217,8
88078,2014,518,217,9
88078,2014,518,217,9
88078,2014,518,217,9
88078,2014,518,217,9
88078,2014,518,217,9
88079,2014,519,217,8
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,10
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,10
88079,2014,519,217,9
88079,2014,519,217,10
88079,2014,519,217,9
88079,2014,519,217,10
88079,2014,519,217,8
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,10
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,8
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,8
88079,2014,519,217,10
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,10
88079,2014,519,217,8
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,10
88079,2014,519,217,9
88079,2014,519,217,9
88079,2014,519,217,9
88080,2014,520,217,10
88080,2014,520,217,10
88080,2014,520,217,10
88080,2014,520,217,10
88080,2014,520,217,10
88080,2014,520,217,10
88080,2014,520,217,10
88080,2014,520,217,10
88080,2014,520,217,11
88080,2014,520,217,10
88080,2014,520,217,11
88080,2014,520,217,10
88081,2014,521,217,10
88081,2014,521,217,10
88081,2014,521,217,10
88081,2014,521,217,9
88081,2014,521,217,10
88092,2014,526,217,12
88092,2014,526,217,10
88092,2014,526,217,14
88092,2014,526,217,10
88092,2014,526,217,10
88092,2014,526,217,11
88092,2014,526,217,10
88092,2014,526,217,12
88092,2014,526,217,9
88092,2014,526,217,11
88092,2014,526,217,10
88092,2014,526,217,8
88092,2014,526,217,10
88092,2014,526,217,10
88092,2014,526,217,10
88092,2014,526,217,9
88092,2014,526,217,10
88092,2014,526,217,9
88092,2014,526,217,10
88092,2014,526,217,11
88092,2014,526,217,10
88092,2014,526,217,10
88092,2014,526,217,9
88092,2014,526,217,11
88092,2014,526,217,10
88092,2014,526,217,12
88093,2014,527,217,12
88093,2014,527,217,12
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,9
88093,2014,527,217,9
88093,2014,527,217,11
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,9
88093,2014,527,217,14
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,11
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,11
88093,2014,527,217,10
88093,2014,527,217,10
88093,2014,527,217,11
88093,2014,527,500,15
88093,2014,527,500,18
88093,2014,527,500,20
88094,2014,528,217,10
88094,2014,528,217,11
88094,2014,528,217,10
88094,2014,528,217,10
88094,2014,528,217,11
88094,2014,528,217,12
88094,2014,528,217,10
88095,2014,529,217,10
88095,2014,529,500,16
88095,2014,529,500,18
88097,2014,531,217,10
88097,2014,531,217,11
88098,2014,532,217,10
88098,2014,532,217,10
88098,2014,532,217,10
88098,2014,532,217,10
88098,2014,532,217,10
88098,2014,532,217,10
88098,2014,532,217,10
88098,2014,532,217,9
88098,2014,532,217,10
88098,2014,532,217,10
88098,2014,532,217,10
88099,2014,533,217,11
88099,2014,533,217,11
88099,2014,533,217,10
88099,2014,533,217,11
88099,2014,533,217,10
88099,2014,533,217,10
88099,2014,533,217,10
88099,2014,533,217,10
88099,2014,533,217,12
88099,2014,533,217,11
88099,2014,533,217,12
88103,2014,534,217,11
88103,2014,534,217,11
88103,2014,534,217,12
88103,2014,534,217,10
88103,2014,534,217,11
88103,2014,534,217,10
88103,2014,534,217,10
88103,2014,534,217,10
88103,2014,534,217,10
88103,2014,534,217,10
88103,2014,534,217,14
88103,2014,534,217,13
88103,2014,534,217,12
88103,2014,534,217,11
88103,2014,534,217,11
88103,2014,534,217,10
88103,2014,534,217,10
88103,2014,534,217,12
88103,2014,534,217,10
88103,2014,534,217,11
88103,2014,534,217,10
88103,2014,534,217,11
88103,2014,534,217,10
88103,2014,534,217,12
88103,2014,534,217,10
88103,2014,534,217,10
88103,2014,534,217,11
88103,2014,534,217,10
88103,2014,534,217,11
88103,2014,534,217,9
88103,2014,534,217,10
88103,2014,534,217,12
88103,2014,534,217,10
88103,2014,534,217,11
88103,2014,534,217,10
88103,2014,534,217,10
88103,2014,534,217,12
88103,2014,534,217,10
88103,2014,534,217,12
88103,2014,534,217,10
88103,2014,534,217,10
88104,2014,535,217,12
88104,2014,535,217,11
88104,2014,535,217,10
88104,2014,535,217,12
88104,2014,535,217,11
88104,2014,535,217,12
88104,2014,535,217,13
88104,2014,535,217,11
88104,2014,535,217,10
88104,2014,535,217,11
88104,2014,535,217,10
88104,2014,535,217,12
88104,2014,535,217,12
88104,2014,535,217,12
88104,2014,535,217,10
88105,2014,536,217,10
88105,2014,536,217,13
88105,2014,536,217,12
88105,2014,536,217,12
88105,2014,536,217,11
88105,2014,536,217,12
88105,2014,536,217,12
88105,2014,536,217,12
88105,2014,536,217,11
88105,2014,536,217,12
88105,2014,536,217,11
88105,2014,536,217,11
88105,2014,536,217,12
88105,2014,536,217,12
88105,2014,536,217,12
88105,2014,536,217,11
88105,2014,536,217,9
88105,2014,536,217,13
88105,2014,536,217,12
88105,2014,536,217,11
88105,2014,536,217,11
88105,2014,536,217,12
88105,2014,536,217,11
88105,2014,536,217,14
88105,2014,536,217,12
88105,2014,536,217,11
88105,2014,536,217,11
88105,2014,536,217,12
88105,2014,536,217,11
88105,2014,536,217,12
88105,2014,536,217,11
88105,2014,536,217,13
88105,2014,536,217,10
88105,2014,536,217,12
88105,2014,536,217,12
